episode,score,survival_s,reward,epsilon,loss
166,93,638,65.8,0.737,0.2269
167,53,490,26.8,0.736,0.2539
168,45,353,20.8,0.734,0.2524
169,59,515,32.8,0.732,0.2715
170,55,473,28.0,0.731,0.2397
171,18,250,-5.8,0.729,0.2459
172,65,559,39.0,0.728,0.2502
173,114,701,86.5,0.726,0.2171
174,41,350,16.2,0.725,0.2402
175,86,675,59.6,0.723,0.2546
176,34,355,9.5,0.721,0.2431
177,164,800,134.8,0.720,0.2622
178,113,700,84.7,0.718,0.2762
179,68,509,40.9,0.717,0.2729
180,50,475,24.6,0.715,0.2652
181,35,413,10.2,0.713,0.2703
182,124,738,95.4,0.712,0.2396
183,72,506,45.9,0.710,0.2213
184,67,486,40.7,0.709,0.2997
185,49,491,23.3,0.707,0.2895
186,77,529,51.2,0.706,0.2466
187,37,391,11.5,0.704,0.2676
188,87,586,59.6,0.702,0.2563
189,56,477,29.9,0.701,0.2660
190,5,166,-17.9,0.699,0.2441
191,104,666,75.4,0.698,0.2766
192,68,536,42.0,0.696,0.3138
193,80,568,54.0,0.694,0.2987
194,52,471,27.1,0.693,0.2992
195,69,576,42.8,0.691,0.3067
196,74,535,47.2,0.690,0.2698
197,51,495,23.7,0.688,0.3225
198,19,307,-6.2,0.686,0.2756
199,181,791,152.0,0.685,0.3258
200,101,646,73.2,0.683,0.3295
201,149,776,119.0,0.682,0.3266
202,135,712,105.6,0.680,0.3172
203,78,610,52.4,0.679,0.3149
204,40,392,15.5,0.677,0.3197
205,49,447,22.6,0.675,0.2930
206,42,417,16.5,0.674,0.3347
207,37,381,12.4,0.672,0.3351
208,103,662,74.9,0.671,0.3047
209,42,512,15.6,0.669,0.2843
210,59,457,32.5,0.667,0.3140
211,75,569,49.8,0.666,0.3191
212,17,301,-7.8,0.664,0.2953
213,89,602,63.2,0.663,0.3100
214,76,548,48.4,0.661,0.3041
215,21,311,-2.7,0.660,0.3436
216,74,515,46.6,0.658,0.3044
217,72,554,45.7,0.656,0.3306
218,81,582,53.2,0.655,0.3034
219,67,595,40.8,0.653,0.3219
220,41,427,15.5,0.652,0.3130
221,38,457,12.4,0.650,0.3200
222,19,302,-5.4,0.649,0.2970
223,99,655,72.6,0.647,0.3459
224,34,416,8.8,0.645,0.3555
225,42,508,16.0,0.644,0.3622
226,108,729,80.8,0.642,0.3216
227,162,806,131.8,0.641,0.3377
228,89,605,62.3,0.639,0.3338
229,125,675,98.3,0.637,0.3189
230,51,420,25.3,0.636,0.3543
231,65,534,36.2,0.634,0.3301
232,106,691,76.4,0.633,0.3319
233,45,423,19.3,0.631,0.3042
234,59,486,33.0,0.629,0.3457
235,60,487,32.9,0.628,0.3390
236,52,490,25.8,0.626,0.3183
237,45,537,17.3,0.625,0.3384
238,39,412,14.0,0.623,0.3543
239,42,373,16.2,0.622,0.3330
240,23,364,-2.4,0.620,0.3527
241,17,246,-7.0,0.618,0.3350
242,90,577,63.4,0.617,0.3670
243,26,363,1.6,0.615,0.3487
244,58,491,31.5,0.614,0.3397
245,12,306,-13.3,0.612,0.3233
246,34,413,8.6,0.611,0.3422
247,53,461,26.3,0.609,0.3673
248,64,471,38.2,0.607,0.4088
249,111,606,81.6,0.606,0.3419
250,57,501,31.2,0.604,0.3416
251,129,703,98.7,0.603,0.3763
252,122,663,95.4,0.601,0.3693
253,59,512,32.1,0.599,0.3718
254,215,945,181.7,0.598,0.3649
255,98,631,69.5,0.596,0.3507
256,103,593,78.0,0.595,0.3968
257,79,576,52.0,0.593,0.3592
258,69,551,42.6,0.592,0.3364
259,119,733,88.0,0.590,0.3387
260,95,646,68.6,0.588,0.4046
261,27,346,1.8,0.587,0.4204
262,32,370,6.8,0.585,0.3562
263,42,473,13.2,0.584,0.3766
264,98,645,70.2,0.582,0.3812
265,44,476,18.0,0.580,0.3777
266,53,463,27.0,0.579,0.3816
267,80,568,52.4,0.577,0.3873
268,65,509,37.6,0.576,0.3443
269,7,177,-16.3,0.574,0.3866
270,60,551,34.8,0.573,0.4073
271,56,555,30.1,0.571,0.3904
272,54,560,27.5,0.569,0.3605
273,92,651,63.0,0.568,0.3790
274,136,741,106.1,0.566,0.3747
275,129,678,102.0,0.565,0.4007
276,108,723,79.2,0.563,0.4174
277,93,659,63.0,0.561,0.4153
278,52,505,25.3,0.560,0.4129
279,107,647,79.8,0.558,0.4155
280,18,266,-5.9,0.557,0.4214
281,79,603,52.2,0.555,0.3718
282,60,520,32.7,0.554,0.4124
283,52,461,26.1,0.552,0.3918
284,71,577,43.6,0.550,0.3906
285,56,474,29.1,0.549,0.4043
286,119,727,89.6,0.547,0.3843
287,138,746,109.6,0.546,0.3894
288,238,1022,207.3,0.544,0.4063
289,58,510,32.0,0.542,0.3805
290,74,508,48.2,0.541,0.4179
291,89,645,60.9,0.539,0.3919
292,119,763,87.5,0.538,0.3854
293,36,485,9.7,0.536,0.4087
294,98,642,69.6,0.534,0.3792
295,42,447,16.2,0.533,0.3844
296,130,810,98.0,0.531,0.4204
297,14,229,-10.8,0.530,0.4554
298,17,290,-6.3,0.528,0.4138
299,58,557,31.0,0.527,0.4160
300,32,386,5.8,0.525,0.4025
301,83,587,53.2,0.523,0.3965
302,119,682,89.8,0.522,0.4060
303,86,636,56.6,0.520,0.4369
304,94,607,67.2,0.519,0.4500
305,77,538,49.7,0.517,0.4348
306,27,298,3.3,0.516,0.4445
307,107,607,80.4,0.514,0.4027
308,119,688,88.7,0.512,0.3978
309,63,483,36.6,0.511,0.4206
310,69,527,42.9,0.509,0.4081
311,48,448,20.5,0.508,0.4324
312,131,737,102.4,0.506,0.4325
313,28,355,1.8,0.504,0.4218
314,104,616,77.0,0.503,0.4091
315,46,431,20.1,0.501,0.4056
316,82,583,52.7,0.500,0.4495
317,29,344,4.0,0.498,0.4556
318,62,512,34.4,0.497,0.4205
319,110,635,81.9,0.495,0.4639
320,15,290,-8.8,0.493,0.4605
321,11,238,-12.1,0.492,0.3999
322,94,620,66.6,0.490,0.4150
323,48,428,23.1,0.489,0.4593
324,136,685,107.4,0.487,0.4146
325,63,535,36.0,0.485,0.4431
326,70,598,42.4,0.484,0.4356
327,50,487,24.5,0.482,0.4499
328,173,836,143.2,0.481,0.4431
329,24,373,-1.3,0.479,0.4130
330,58,583,30.2,0.478,0.5049
331,26,393,-1.3,0.476,0.4525
332,72,542,43.7,0.474,0.4442
333,78,594,51.6,0.473,0.4497
334,47,428,20.6,0.471,0.4099
335,63,582,33.9,0.470,0.4443
336,62,553,32.0,0.468,0.4410
337,57,517,30.2,0.466,0.4934
338,144,759,115.0,0.465,0.4550
339,64,546,33.5,0.463,0.4396
340,97,658,67.4,0.462,0.4508
341,58,453,33.1,0.460,0.4400
342,92,609,63.6,0.459,0.4682
343,53,411,27.3,0.457,0.4311
344,23,335,-2.3,0.455,0.4377
345,78,596,51.6,0.454,0.4531
346,76,566,49.2,0.452,0.4769
347,77,530,49.9,0.451,0.4008
348,55,440,27.4,0.449,0.4548
349,56,477,28.7,0.447,0.4373
350,6,233,-18.3,0.446,0.4916
351,78,578,51.1,0.444,0.4547
352,158,813,123.7,0.443,0.4702
353,67,446,41.2,0.441,0.4336
354,47,420,21.3,0.440,0.4405
355,119,714,90.0,0.438,0.4663
356,90,596,61.5,0.436,0.4751
357,32,365,7.4,0.435,0.4500
358,217,990,183.7,0.433,0.4801
359,83,630,55.7,0.432,0.4819
360,53,447,28.1,0.430,0.4669
361,73,656,40.9,0.428,0.5085
362,25,330,0.4,0.427,0.5030
363,60,462,33.3,0.425,0.4600
364,9,271,-15.8,0.424,0.4667
365,47,484,21.5,0.422,0.5278
366,81,561,55.8,0.420,0.5178
367,50,412,25.3,0.419,0.4835
368,57,502,28.6,0.417,0.5061
369,33,350,7.2,0.416,0.4549
370,60,488,33.7,0.414,0.4590
371,89,660,63.7,0.413,0.4769
372,73,539,45.8,0.411,0.4887
373,30,348,5.2,0.409,0.5351
374,59,467,33.4,0.408,0.5079
375,92,588,66.5,0.406,0.5396
376,65,553,37.8,0.405,0.4977
377,150,758,123.0,0.403,0.4852
378,80,593,53.4,0.402,0.5098
379,42,482,17.0,0.400,0.4692
380,92,569,65.5,0.398,0.4837
381,23,322,-1.6,0.397,0.5415
382,86,581,58.9,0.395,0.4923
383,32,357,7.6,0.394,0.4741
384,82,650,53.5,0.392,0.4682
385,82,570,53.1,0.390,0.4835
386,111,673,81.7,0.389,0.4715
387,47,488,21.6,0.387,0.5021
388,94,686,65.1,0.386,0.5072
389,114,710,82.1,0.384,0.4816
390,29,303,4.6,0.383,0.5250
391,90,583,64.3,0.381,0.5175
392,33,437,7.4,0.379,0.4729
393,70,562,45.2,0.378,0.4916
394,69,558,43.6,0.376,0.4859
395,65,542,37.2,0.375,0.4965
396,69,589,41.3,0.373,0.5493
397,70,613,41.3,0.371,0.4760
398,63,585,37.2,0.370,0.5171
399,27,360,1.5,0.368,0.4715
400,122,714,92.5,0.367,0.4894
401,95,642,65.6,0.365,0.5187
402,183,821,150.5,0.364,0.4917
403,62,538,32.5,0.362,0.4872
404,38,425,13.0,0.360,0.5071
405,65,514,37.8,0.359,0.5406
406,5,173,-18.2,0.357,0.4801
407,118,688,89.5,0.356,0.5059
408,57,526,29.8,0.354,0.5047
409,43,389,17.3,0.352,0.4872
410,16,266,-8.0,0.351,0.5150
411,24,301,-0.7,0.349,0.4955
412,106,689,79.1,0.348,0.5160
413,112,692,80.1,0.346,0.5356
414,77,572,47.7,0.345,0.5202
415,64,494,38.6,0.343,0.4973
416,72,533,45.1,0.341,0.4820
417,26,340,0.9,0.340,0.4647
418,40,402,14.4,0.338,0.5031
419,122,726,90.5,0.337,0.5109
420,141,765,111.6,0.335,0.4915
421,98,577,71.2,0.333,0.4694
422,72,539,43.6,0.332,0.4841
423,29,443,-1.7,0.330,0.5081
424,95,582,67.7,0.329,0.5309
425,68,528,41.7,0.327,0.5124
426,71,588,42.4,0.326,0.4977
427,55,524,28.4,0.324,0.5110
428,90,638,59.4,0.322,0.5448
429,141,814,109.8,0.321,0.5020
430,44,486,19.6,0.319,0.4933
431,146,773,114.0,0.318,0.5627
432,51,441,24.5,0.316,0.4922
433,29,341,4.2,0.314,0.4895
434,53,414,29.5,0.313,0.5050
435,80,573,54.2,0.311,0.5463
436,107,642,81.7,0.310,0.5094
437,66,529,40.5,0.308,0.5495
438,60,530,34.2,0.306,0.4725
439,39,386,11.8,0.305,0.5840
440,125,687,96.0,0.303,0.5268
441,62,601,34.0,0.302,0.5386
442,154,819,125.7,0.300,0.4966
443,99,609,74.2,0.299,0.4681
444,152,709,122.1,0.297,0.5077
445,72,544,45.6,0.295,0.5107
446,25,324,-0.1,0.294,0.5809
447,58,512,30.6,0.292,0.5372
448,45,436,17.5,0.291,0.5124
449,40,389,11.5,0.289,0.5200
450,81,583,52.1,0.288,0.5816
451,8,279,-16.2,0.286,0.5587
452,56,486,27.9,0.284,0.5244
453,55,487,26.1,0.283,0.5111
454,159,768,130.1,0.281,0.5440
455,80,639,45.4,0.280,0.5418
456,43,490,12.6,0.278,0.5173
457,32,411,4.0,0.276,0.5392
458,84,516,57.7,0.275,0.5631
459,86,628,57.4,0.273,0.5341
460,43,472,17.2,0.272,0.5180
461,92,611,61.9,0.270,0.5768
462,49,446,23.3,0.269,0.5960
463,9,258,-15.1,0.267,0.6556
464,76,598,47.8,0.265,0.5748
465,35,388,8.4,0.264,0.4918
466,45,403,20.5,0.262,0.5009
467,203,858,172.4,0.261,0.5557
468,91,629,60.6,0.259,0.5716
469,78,539,49.8,0.257,0.5681
470,111,736,82.7,0.256,0.5520
471,13,292,-12.1,0.254,0.5108
472,58,570,30.9,0.253,0.5665
473,78,589,48.6,0.251,0.5513
474,40,429,12.0,0.250,0.5533
475,59,531,33.0,0.248,0.5086
476,46,421,19.4,0.246,0.5855
477,26,380,-0.2,0.245,0.5579
478,60,474,35.2,0.243,0.5304
479,61,439,35.4,0.242,0.5713
480,63,567,33.8,0.240,0.5178
481,145,742,114.6,0.238,0.5576
482,51,435,24.9,0.237,0.5722
483,52,435,27.5,0.235,0.5655
484,18,387,-5.5,0.234,0.4752
485,99,679,66.4,0.232,0.5856
486,135,665,108.5,0.231,0.5490
487,60,484,34.7,0.229,0.5579
488,105,693,74.6,0.227,0.5642
489,37,380,9.9,0.226,0.5855
490,60,545,32.2,0.224,0.5581
491,28,292,3.5,0.223,0.4548
492,51,481,23.0,0.221,0.5744
493,38,479,11.0,0.219,0.5283
494,59,547,31.2,0.218,0.5419
495,56,489,29.5,0.216,0.5846
496,62,586,37.9,0.215,0.6089
497,103,712,72.1,0.213,0.5396
498,54,504,28.2,0.212,0.4964
499,78,563,47.7,0.210,0.5141
500,86,610,59.1,0.208,0.5616
501,46,447,18.2,0.207,0.5708
502,81,576,51.5,0.205,0.5682
503,103,651,73.7,0.204,0.5832
504,120,697,92.3,0.202,0.5443
505,114,612,86.9,0.200,0.5076
506,46,470,19.0,0.199,0.5370
507,66,557,39.4,0.197,0.5657
508,92,569,67.2,0.196,0.5910
509,68,528,39.6,0.194,0.5661
510,67,567,38.2,0.193,0.5472
511,56,496,30.5,0.191,0.5780
512,101,599,72.6,0.189,0.5102
513,86,561,59.7,0.188,0.5147
514,104,691,72.0,0.186,0.5761
515,43,424,15.8,0.185,0.5743
516,86,629,57.9,0.183,0.5635
517,41,476,15.6,0.181,0.4845
518,111,725,79.5,0.180,0.5430
519,29,390,2.5,0.178,0.6072
520,65,492,39.3,0.177,0.5282
521,46,389,21.4,0.175,0.5468
522,84,572,59.2,0.173,0.5483
523,30,354,5.9,0.172,0.5198
524,54,456,27.0,0.170,0.5885
525,22,315,-2.2,0.169,0.6319
526,98,585,71.0,0.167,0.5642
527,67,547,42.5,0.166,0.5511
528,85,665,58.2,0.164,0.5639
529,129,766,99.2,0.162,0.5508
530,166,794,137.8,0.161,0.6247
531,71,612,43.9,0.159,0.5571
532,146,707,119.0,0.158,0.5615
533,63,474,39.7,0.156,0.5686
534,26,350,1.9,0.155,0.4908
535,59,465,33.2,0.153,0.5201
536,176,797,146.0,0.151,0.6376
537,81,590,56.9,0.150,0.6083
538,48,407,21.2,0.148,0.5705
539,248,974,215.7,0.147,0.5748
540,155,796,121.9,0.145,0.5922
541,39,416,13.7,0.143,0.5454
542,40,370,14.7,0.142,0.5760
543,78,527,48.0,0.140,0.6162
544,27,420,1.0,0.139,0.6006
545,39,458,12.0,0.137,0.5905
546,102,670,73.3,0.136,0.5750
547,133,737,104.3,0.134,0.5922
548,63,526,37.7,0.132,0.5714
549,168,789,139.3,0.131,0.5477
550,110,651,82.4,0.129,0.5618
551,45,450,18.7,0.128,0.5659
552,104,701,71.6,0.126,0.5597
553,62,511,36.9,0.124,0.6262
554,81,573,52.4,0.123,0.5266
555,84,635,57.0,0.121,0.5500
556,81,582,52.9,0.120,0.6230
557,64,540,35.0,0.118,0.6484
558,36,524,9.1,0.117,0.6553
559,68,537,41.0,0.115,0.5682
560,93,665,64.2,0.113,0.6177
561,49,398,21.5,0.112,0.5684
562,18,279,-6.1,0.110,0.5764
563,170,812,142.6,0.109,0.6082
564,98,567,74.4,0.107,0.6314
565,78,618,52.1,0.105,0.5976
566,132,673,103.7,0.104,0.6363
567,48,450,21.0,0.102,0.5526
568,3,139,-18.5,0.101,0.5383
569,80,596,53.8,0.099,0.6085
570,76,606,46.5,0.098,0.6262
571,76,560,46.3,0.096,0.6445
572,166,893,131.7,0.094,0.6432
573,35,474,10.0,0.093,0.6096
574,134,739,106.8,0.091,0.6390
575,14,265,-11.3,0.090,0.5232
576,31,314,7.0,0.088,0.6539
577,83,596,56.5,0.086,0.6228
578,90,627,57.8,0.085,0.6035
579,20,291,-1.6,0.083,0.6562
580,86,640,57.0,0.082,0.5964
581,43,399,18.2,0.080,0.6653
582,106,625,79.3,0.079,0.6013
583,89,545,63.2,0.077,0.5890
584,127,662,99.5,0.075,0.6323
585,21,262,-3.5,0.074,0.5558
586,84,483,57.4,0.072,0.6272
587,126,693,96.6,0.071,0.6250
588,34,350,9.3,0.069,0.6673
589,114,675,86.8,0.067,0.6537
590,142,721,110.6,0.066,0.6282
591,113,600,88.4,0.064,0.6121
592,123,664,96.9,0.063,0.5983
593,104,620,76.4,0.061,0.6306
594,28,261,3.1,0.059,0.7013
595,162,771,134.0,0.058,0.6421
596,143,734,111.6,0.056,0.6468
597,140,775,113.0,0.055,0.6636
598,90,567,59.2,0.053,0.7080
599,140,718,111.8,0.052,0.6610
600,56,558,21.8,0.050,0.6371
601,50,410,25.6,0.050,0.6271
602,120,727,89.8,0.050,0.6667
603,73,524,51.0,0.050,0.6488
604,77,633,48.2,0.050,0.6925
605,136,711,106.1,0.050,0.6340
606,62,494,38.6,0.050,0.6642
607,62,479,38.6,0.050,0.6851
608,90,711,56.2,0.050,0.7013
609,87,653,58.8,0.050,0.6824
610,57,529,30.7,0.050,0.6475
611,117,758,86.5,0.050,0.6436
612,76,504,48.6,0.050,0.5903
613,39,480,8.1,0.050,0.7030
614,109,713,78.1,0.050,0.6319
615,102,621,74.9,0.050,0.6587
616,80,612,57.0,0.050,0.6287
617,65,606,35.2,0.050,0.6641
618,73,573,46.4,0.050,0.6615
619,45,458,11.7,0.050,0.7063
620,139,743,111.5,0.050,0.7190
621,162,818,135.2,0.050,0.6771
622,118,719,87.0,0.050,0.7148
623,42,469,14.9,0.050,0.6639
624,112,691,78.2,0.050,0.6779
625,11,237,-12.4,0.050,0.5941
626,123,750,93.6,0.050,0.7314
627,30,433,-0.8,0.050,0.6655
628,77,602,46.9,0.050,0.6577
629,45,400,21.4,0.050,0.6787
630,87,563,56.3,0.050,0.6506
631,139,723,113.6,0.050,0.6514
632,76,588,47.6,0.050,0.6339
633,147,762,119.5,0.050,0.6817
634,83,578,55.6,0.050,0.6965
635,68,515,43.0,0.050,0.6903
636,86,600,59.5,0.050,0.7038
637,185,843,156.1,0.050,0.6949
638,115,715,88.5,0.050,0.6820
639,16,300,-10.0,0.050,0.6315
640,52,454,27.9,0.050,0.7191
641,36,394,9.8,0.050,0.7188
642,17,373,-9.8,0.050,0.7391
643,11,283,-15.3,0.050,0.6696
644,88,599,61.0,0.050,0.7148
645,34,362,10.4,0.050,0.7100
646,50,464,25.3,0.050,0.6619
647,103,663,76.8,0.050,0.6517
648,24,382,-5.4,0.050,0.6783
649,114,646,84.9,0.050,0.7264
650,153,785,123.1,0.050,0.7135
651,155,804,119.9,0.050,0.7153
652,162,790,129.7,0.050,0.7247
653,56,432,28.7,0.050,0.8083
654,53,513,27.1,0.050,0.7079
655,96,699,65.5,0.050,0.7510
656,31,387,5.4,0.050,0.7562
657,70,554,38.8,0.050,0.6964
658,129,764,101.1,0.050,0.6768
659,43,443,16.2,0.050,0.7043
660,38,437,13.7,0.050,0.7235
661,46,476,23.0,0.050,0.7219
662,188,875,159.4,0.050,0.7324
663,113,627,89.6,0.050,0.6522
664,58,570,29.0,0.050,0.7396
665,77,631,50.2,0.050,0.6898
666,83,621,50.0,0.050,0.7197
667,44,407,17.1,0.050,0.6723
668,46,542,16.9,0.050,0.7005
669,118,694,88.1,0.050,0.7802
670,71,563,43.9,0.050,0.7083
671,41,520,12.6,0.050,0.8265
672,91,601,64.2,0.050,0.6967
673,342,1200,307.7,0.050,0.7244
674,95,624,68.5,0.050,0.6654
675,33,428,5.3,0.050,0.7731
676,113,642,79.5,0.050,0.6857
677,108,723,82.0,0.050,0.7108
678,94,610,63.5,0.050,0.7179
679,92,591,69.0,0.050,0.7070
680,80,553,56.5,0.050,0.6465
681,13,236,-9.2,0.050,0.6219
682,43,488,15.8,0.050,0.7659
683,66,606,38.3,0.050,0.7045
684,50,470,24.3,0.050,0.7762
685,119,708,91.3,0.050,0.7080
686,36,385,9.1,0.050,0.6883
687,133,714,102.0,0.050,0.8145
688,77,616,52.5,0.050,0.7893
689,26,390,-4.8,0.050,0.7026
690,163,765,133.9,0.050,0.7576
691,64,545,36.1,0.050,0.7198
692,59,460,33.2,0.050,0.7275
693,124,685,94.2,0.050,0.6856
694,87,545,56.6,0.050,0.7287
695,79,601,52.2,0.050,0.7521
696,80,591,53.0,0.050,0.7675
697,71,505,49.0,0.050,0.7411
698,97,616,71.9,0.050,0.8476
699,31,349,5.9,0.050,0.7688
700,50,432,25.6,0.050,0.7617
701,128,757,92.9,0.050,0.7768
702,7,266,-19.6,0.050,0.7176
703,98,683,66.7,0.050,0.6708
704,94,700,66.1,0.050,0.7791
705,93,668,67.2,0.050,0.7593
706,96,602,70.3,0.050,0.7256
707,87,615,63.2,0.050,0.7638
708,78,599,53.2,0.050,0.7394
709,105,637,79.1,0.050,0.7829
710,77,656,45.1,0.050,0.8132
711,41,449,10.0,0.050,0.7550
712,18,187,-4.9,0.050,0.7653
713,113,687,81.8,0.050,0.6796
714,86,593,58.8,0.050,0.7515
715,111,714,78.3,0.050,0.7614
716,67,518,41.2,0.050,0.7359
717,60,532,26.2,0.050,0.7871
718,30,380,5.4,0.050,0.7444
719,85,629,55.3,0.050,0.8009
720,87,611,58.1,0.050,0.7070
721,185,885,155.3,0.050,0.8182
722,16,306,-8.9,0.050,0.7357
723,59,519,28.4,0.050,0.7651
724,57,523,26.6,0.050,0.7564
725,171,825,140.9,0.050,0.8441
726,45,405,15.0,0.050,0.7119
727,66,532,36.3,0.050,0.7619
728,72,580,42.4,0.050,0.6914
729,64,469,40.1,0.050,0.8332
