episode,score,survival_s,reward,epsilon,loss
730,90,645,62.1,0.050,0.7156
731,72,535,46.1,0.050,0.7911
732,51,499,23.5,0.050,0.8017
733,43,465,13.7,0.050,0.7391
734,13,248,-10.1,0.050,0.7550
735,203,902,172.2,0.050,0.7043
736,93,590,69.1,0.050,0.7073
737,89,613,62.2,0.050,0.8133
738,67,557,39.3,0.050,0.7836
739,217,907,193.0,0.050,0.7633
740,113,722,84.5,0.050,0.7666
741,20,387,-7.3,0.050,0.7856
742,52,450,26.6,0.050,0.7083
743,83,575,56.0,0.050,0.8157
744,35,390,11.9,0.050,0.7840
745,85,573,60.4,0.050,0.7348
746,64,482,35.8,0.050,0.7115
747,99,665,70.4,0.050,0.7646
748,24,381,-2.4,0.050,0.7765
749,167,783,137.5,0.050,0.7422
750,91,611,58.7,0.050,0.6994
751,116,701,89.3,0.050,0.8047
752,15,257,-10.9,0.050,0.8044
753,127,716,101.6,0.050,0.7833
754,105,638,79.2,0.050,0.8434
755,77,615,50.6,0.050,0.8299
756,104,625,79.1,0.050,0.7351
757,151,733,124.2,0.050,0.7230
758,78,604,50.4,0.050,0.8320
759,47,467,22.8,0.050,0.7929
760,80,591,49.6,0.050,0.8675
761,47,474,21.1,0.050,0.7946
762,145,733,116.6,0.050,0.8041
763,74,549,47.1,0.050,0.7397
764,106,603,80.9,0.050,0.8203
765,44,484,18.0,0.050,0.7725
766,107,601,79.1,0.050,0.8152
767,106,686,79.8,0.050,0.7643
768,34,421,9.0,0.050,0.8467
769,82,545,54.8,0.050,0.8463
770,105,669,82.1,0.050,0.7982
771,70,531,46.6,0.050,0.7422
772,142,756,118.5,0.050,0.7721
773,103,617,78.7,0.050,0.8088
774,41,475,15.9,0.050,0.7656
775,19,353,-8.0,0.050,0.7988
776,104,700,77.6,0.050,0.8233
777,79,515,51.4,0.050,0.8693
778,150,756,122.3,0.050,0.7881
779,68,561,42.1,0.050,0.8127
780,88,587,64.8,0.050,0.8329
781,128,694,98.8,0.050,0.8176
782,141,830,100.7,0.050,0.7596
783,93,641,70.9,0.050,0.7406
784,38,421,13.0,0.050,0.8444
785,44,479,17.7,0.050,0.8122
786,65,537,37.7,0.050,0.7437
787,90,573,63.3,0.050,0.9001
788,53,496,30.5,0.050,0.7754
789,117,670,85.3,0.050,0.7688
790,77,596,53.6,0.050,0.7586
791,38,400,13.1,0.050,0.7217
792,91,549,66.7,0.050,0.7783
793,30,416,5.2,0.050,0.8521
794,152,732,121.2,0.050,0.8189
795,63,516,35.1,0.050,0.7576
796,28,380,5.9,0.050,0.8104
797,112,612,87.7,0.050,0.8037
798,83,532,59.8,0.050,0.7584
799,179,889,141.1,0.050,0.8022
800,50,546,21.7,0.050,0.7602
801,19,309,-9.3,0.050,0.8148
802,72,553,44.8,0.050,0.8137
803,91,659,66.2,0.050,0.7887
804,148,781,117.2,0.050,0.7981
805,43,386,18.3,0.050,0.8324
806,91,628,62.5,0.050,0.7429
807,88,619,55.5,0.050,0.7305
808,17,281,-9.8,0.050,0.7328
809,74,602,42.1,0.050,0.7639
810,80,543,55.4,0.050,0.8568
811,61,484,35.0,0.050,0.8502
812,31,436,6.6,0.050,0.7394
813,111,654,84.8,0.050,0.7188
814,120,717,90.2,0.050,0.7598
815,72,569,47.2,0.050,0.8156
816,65,536,37.5,0.050,0.8070
817,97,665,74.2,0.050,0.8818
818,28,345,4.2,0.050,0.8262
819,101,691,74.4,0.050,0.8571
820,41,547,14.6,0.050,0.8223
821,67,523,42.3,0.050,0.9169
822,82,584,54.7,0.050,0.8279
823,44,421,18.0,0.050,0.7938
824,35,385,11.1,0.050,0.8816
825,93,662,66.9,0.050,0.7951
826,82,584,53.3,0.050,0.7946
827,37,438,8.9,0.050,0.8154
828,62,573,32.4,0.050,0.8450
829,92,664,63.2,0.050,0.8406
830,79,496,55.1,0.050,0.8036
831,56,501,29.8,0.050,0.8774
832,79,535,47.3,0.050,0.7758
833,19,326,-4.5,0.050,0.8281
834,66,551,38.7,0.050,0.8101
835,9,278,-15.7,0.050,0.8193
836,90,629,63.5,0.050,0.8415
837,151,818,109.5,0.050,0.7608
838,5,261,-20.6,0.050,0.7600
839,23,345,-0.2,0.050,0.8052
840,56,460,32.1,0.050,0.9004
841,70,495,45.0,0.050,0.8023
842,81,628,51.7,0.050,0.8393
843,60,502,35.5,0.050,0.8559
844,27,364,-0.2,0.050,0.7617
845,25,356,2.0,0.050,0.8035
846,12,333,-15.1,0.050,0.8147
847,9,273,-14.6,0.050,0.8034
848,8,270,-16.8,0.050,0.7985
849,48,511,15.7,0.050,0.8282
850,29,377,1.6,0.050,0.8531
851,130,719,100.0,0.050,0.8049
852,101,573,73.1,0.050,0.8211
853,36,478,9.1,0.050,0.8202
854,64,480,42.0,0.050,0.8675
855,47,430,23.7,0.050,0.7848
856,90,566,62.5,0.050,0.8273
857,46,452,20.6,0.050,0.8263
858,68,597,46.2,0.050,0.8440
859,88,536,63.4,0.050,0.8003
860,70,460,48.2,0.050,0.8199
861,103,637,74.5,0.050,0.7773
862,48,462,26.2,0.050,0.8176
863,131,728,100.5,0.050,0.8870
864,81,602,55.5,0.050,0.8268
865,10,193,-13.7,0.050,0.8110
866,29,385,1.5,0.050,0.9071
867,120,683,89.3,0.050,0.8496
868,71,449,49.5,0.050,0.8588
869,34,377,6.5,0.050,0.8184
870,40,452,13.3,0.050,0.7665
871,116,708,86.6,0.050,0.7963
872,98,619,73.1,0.050,0.8629
873,139,783,111.0,0.050,0.8237
874,142,841,114.4,0.050,0.8923
875,155,808,130.2,0.050,0.8210
876,37,390,9.1,0.050,0.7661
877,107,660,78.1,0.050,0.8323
878,89,594,64.3,0.050,0.9305
879,44,452,20.2,0.050,0.8609
880,100,603,75.4,0.050,0.8892
881,64,513,38.4,0.050,0.7853
882,95,648,70.5,0.050,0.8414
883,81,589,53.2,0.050,0.7375
884,131,781,97.0,0.050,0.8163
885,163,783,136.1,0.050,0.8747
886,72,580,47.5,0.050,0.8507
887,40,437,17.8,0.050,0.8350
888,10,332,-12.7,0.050,0.7899
889,142,703,112.9,0.050,0.8288
890,90,608,67.2,0.050,0.8603
891,85,613,57.8,0.050,0.9029
892,64,530,37.6,0.050,0.8182
893,62,548,32.9,0.050,0.8805
894,115,747,83.1,0.050,0.8333
895,98,690,63.8,0.050,0.8877
896,128,648,96.9,0.050,0.8966
897,90,665,66.2,0.050,0.8613
898,29,391,3.8,0.050,0.9090
899,44,444,15.2,0.050,0.8364
900,63,443,39.1,0.050,0.9572
901,68,573,40.9,0.050,0.8881
902,113,643,90.9,0.050,0.8245
903,177,850,151.6,0.050,0.8591
904,38,383,11.3,0.050,0.7797
905,31,386,5.5,0.050,0.9091
906,94,638,69.3,0.050,0.8743
907,98,620,71.8,0.050,0.8893
908,16,270,-10.3,0.050,0.9136
909,152,781,125.0,0.050,0.8566
910,24,368,-2.3,0.050,0.8579
911,85,645,55.4,0.050,0.8652
912,168,837,129.6,0.050,0.9192
913,63,484,41.1,0.050,0.9372
914,124,711,93.7,0.050,0.8266
915,78,611,53.0,0.050,0.8043
916,19,342,-6.3,0.050,0.8947
917,4,137,-17.7,0.050,0.8249
918,64,467,36.1,0.050,0.9046
919,35,396,8.9,0.050,0.8323
920,90,609,62.1,0.050,0.8673
921,172,803,142.2,0.050,0.9067
922,122,679,95.0,0.050,0.9068
923,39,495,11.1,0.050,0.8811
924,61,565,31.5,0.050,0.9248
925,11,298,-16.6,0.050,0.8479
926,107,643,79.5,0.050,0.8984
927,101,574,74.6,0.050,0.9160
928,24,367,-1.0,0.050,0.9078
929,60,543,29.5,0.050,0.9151
930,59,487,32.0,0.050,0.9070
931,98,630,71.5,0.050,0.8348
932,164,807,135.5,0.050,0.9058
933,55,542,24.9,0.050,0.8481
934,105,646,73.9,0.050,0.8609
935,89,577,60.4,0.050,0.9660
936,90,677,66.4,0.050,0.9121
937,84,614,56.5,0.050,0.9136
938,90,586,64.0,0.050,0.9240
939,58,521,33.8,0.050,0.8529
940,80,555,54.6,0.050,0.8739
941,48,447,24.0,0.050,0.9402
942,104,649,72.5,0.050,0.9020
943,56,452,30.9,0.050,0.8321
944,210,878,179.7,0.050,0.8723
945,101,657,71.3,0.050,0.8472
946,7,193,-13.0,0.050,0.8694
947,29,405,0.7,0.050,0.9695
948,93,606,58.0,0.050,0.9137
949,155,769,130.0,0.050,0.8480
950,120,593,93.0,0.050,0.8138
951,59,513,35.0,0.050,0.8281
952,141,680,116.1,0.050,0.8823
953,27,318,4.8,0.050,0.8491
954,90,640,65.8,0.050,0.8575
955,20,378,-4.5,0.050,0.9594
956,37,418,11.1,0.050,1.0074
957,52,533,23.4,0.050,0.9685
958,166,794,139.2,0.050,0.9223
959,10,282,-14.5,0.050,0.9779
960,9,240,-15.3,0.050,0.9508
961,14,304,-14.4,0.050,0.8582
962,53,459,27.0,0.050,0.8380
963,110,728,77.4,0.050,0.9013
964,13,265,-14.0,0.050,0.9100
965,62,500,36.6,0.050,0.8588
966,38,397,11.4,0.050,0.9864
967,40,469,8.6,0.050,0.8463
968,41,462,12.9,0.050,0.9519
969,60,529,34.9,0.050,0.8729
970,28,399,-0.5,0.050,0.8761
971,86,647,54.4,0.050,0.8759
972,23,323,-0.1,0.050,0.9452
973,89,542,63.6,0.050,0.9294
974,72,485,46.1,0.050,0.9207
975,141,797,108.8,0.050,0.9363
976,50,457,21.5,0.050,0.8917
977,25,442,-0.9,0.050,0.9131
978,18,310,-8.8,0.050,0.9179
979,43,499,10.9,0.050,0.9043
980,59,544,31.0,0.050,0.9103
981,101,650,68.6,0.050,0.9365
982,170,871,135.0,0.050,0.9175
983,33,363,8.1,0.050,0.9742
984,74,545,44.0,0.050,0.9339
985,100,674,67.0,0.050,0.8668
986,20,335,-9.8,0.050,0.9375
987,30,422,1.2,0.050,0.8525
988,23,383,-4.9,0.050,0.8688
989,14,295,-12.3,0.050,0.9454
990,51,437,27.6,0.050,0.9443
991,71,539,36.8,0.050,0.8676
992,42,492,16.2,0.050,0.8945
993,68,510,39.2,0.050,0.8975
994,27,381,0.3,0.050,0.9006
995,44,469,15.5,0.050,0.9418
996,26,322,-3.4,0.050,0.8353
997,33,415,2.6,0.050,0.9091
998,51,471,24.5,0.050,0.8661
999,14,340,-12.0,0.050,0.9018
